 time            v(in)           v(out_a)        v(out_b)       
 1.01227678e-02  5.00000000e+00  4.99945401e+00  4.68490758e+00 
 1.01327678e-02  5.00000000e+00  4.99945944e+00  4.68586096e+00 
 1.01427678e-02  5.00000000e+00  4.99946482e+00  4.68681146e+00 
 1.01527678e-02  5.00000000e+00  4.99947015e+00  4.68775908e+00 
 1.01627678e-02  5.00000000e+00  4.99947542e+00  4.68870383e+00 
 1.01727678e-02  5.00000000e+00  4.99948064e+00  4.68964572e+00 
 1.01827678e-02  5.00000000e+00  4.99948581e+00  4.69058477e+00 
 1.01927678e-02  5.00000000e+00  4.99949092e+00  4.69152097e+00 
 1.02027678e-02  5.00000000e+00  4.99949599e+00  4.69245434e+00 
 1.02127678e-02  5.00000000e+00  4.99950100e+00  4.69338489e+00 
 1.02227678e-02  5.00000000e+00  4.99950597e+00  4.69431262e+00 
 1.02327678e-02  5.00000000e+00  4.99951088e+00  4.69523754e+00 
 1.02427678e-02  5.00000000e+00  4.99951575e+00  4.69615967e+00 
 1.02527678e-02  5.00000000e+00  4.99952057e+00  4.69707901e+00 
 1.02627678e-02  5.00000000e+00  4.99952534e+00  4.69799556e+00 
 1.02727678e-02  5.00000000e+00  4.99953006e+00  4.69890934e+00 
 1.02827678e-02  5.00000000e+00  4.99953474e+00  4.69982036e+00 
 1.02927678e-02  5.00000000e+00  4.99953937e+00  4.70072861e+00 
 1.03027678e-02  5.00000000e+00  4.99954395e+00  4.70163413e+00 
 1.03127678e-02  5.00000000e+00  4.99954849e+00  4.70253690e+00 
 1.03227678e-02  5.00000000e+00  4.99955298e+00  4.70343694e+00 
 1.03327678e-02  5.00000000e+00  4.99955743e+00  4.70433425e+00 
 1.03427678e-02  5.00000000e+00  4.99956183e+00  4.70522885e+00 
 1.03527678e-02  5.00000000e+00  4.99956619e+00  4.70612075e+00 
 1.03627678e-02  5.00000000e+00  4.99957051e+00  4.70700994e+00 
 1.03727678e-02  5.00000000e+00  4.99957478e+00  4.70789645e+00 
 1.03827678e-02  5.00000000e+00  4.99957901e+00  4.70878027e+00 
 1.03927678e-02  5.00000000e+00  4.99958320e+00  4.70966142e+00 
 1.04027678e-02  5.00000000e+00  4.99958735e+00  4.71053991e+00 
 1.04127678e-02  5.00000000e+00  4.99959146e+00  4.71141573e+00 
 1.04227678e-02  5.00000000e+00  4.99959552e+00  4.71228890e+00 
 1.04327678e-02  5.00000000e+00  4.99959955e+00  4.71315944e+00 
 1.04427678e-02  5.00000000e+00  4.99960353e+00  4.71402734e+00 
 1.04527678e-02  5.00000000e+00  4.99960748e+00  4.71489261e+00 
 1.04627678e-02  5.00000000e+00  4.99961138e+00  4.71575526e+00 
 1.04727678e-02  5.00000000e+00  4.99961525e+00  4.71661531e+00 
 1.04827678e-02  5.00000000e+00  4.99961908e+00  4.71747275e+00 
