 time            v(in)           v(out)          i(V1)          
 1.87898500e-02  0.00000000e+00  4.29373945e-07  4.29373945e-10 
 1.87998500e-02  0.00000000e+00  4.20871491e-07  4.20871491e-10 
 1.88098500e-02  0.00000000e+00  4.12537402e-07  4.12537402e-10 
 1.88198500e-02  0.00000000e+00  4.04368345e-07  4.04368345e-10 
 1.88298500e-02  0.00000000e+00  3.96361051e-07  3.96361051e-10 
 1.88398500e-02  0.00000000e+00  3.88512317e-07  3.88512317e-10 
 1.88498500e-02  0.00000000e+00  3.80819004e-07  3.80819004e-10 
 1.88598500e-02  0.00000000e+00  3.73278033e-07  3.73278033e-10 
 1.88698500e-02  0.00000000e+00  3.65886389e-07  3.65886389e-10 
 1.88798500e-02  0.00000000e+00  3.58641114e-07  3.58641114e-10 
 1.88898500e-02  0.00000000e+00  3.51539310e-07  3.51539310e-10 
 1.88998500e-02  0.00000000e+00  3.44578135e-07  3.44578135e-10 
 1.89098500e-02  0.00000000e+00  3.37754806e-07  3.37754806e-10 
 1.89198500e-02  0.00000000e+00  3.31066592e-07  3.31066592e-10 
 1.89298500e-02  0.00000000e+00  3.24510818e-07  3.24510818e-10 
 1.89398500e-02  0.00000000e+00  3.18084861e-07  3.18084861e-10 
 1.89498500e-02  0.00000000e+00  3.11786151e-07  3.11786151e-10 
 1.89598500e-02  0.00000000e+00  3.05612168e-07  3.05612168e-10 
 1.89698500e-02  0.00000000e+00  2.99560442e-07  2.99560442e-10 
 1.89798500e-02  0.00000000e+00  2.93628552e-07  2.93628552e-10 
 1.89898500e-02  0.00000000e+00  2.87814125e-07  2.87814125e-10 
 1.89998500e-02  0.00000000e+00  2.82114835e-07  2.82114835e-10 
 1.90098500e-02  0.00000000e+00  2.76528403e-07  2.76528403e-10 
 1.90198500e-02  0.00000000e+00  2.71052593e-07  2.71052593e-10 
 1.90298500e-02  0.00000000e+00  2.65685215e-07  2.65685215e-10 
 1.90398500e-02  0.00000000e+00  2.60424122e-07  2.60424122e-10 
 1.90498500e-02  0.00000000e+00  2.55267208e-07  2.55267208e-10 
 1.90598500e-02  0.00000000e+00  2.50212412e-07  2.50212412e-10 
 1.90698500e-02  0.00000000e+00  2.45257711e-07  2.45257711e-10 
 1.90798500e-02  0.00000000e+00  2.40401123e-07  2.40401123e-10 
 1.90898500e-02  0.00000000e+00  2.35640704e-07  2.35640704e-10 
 1.90998500e-02  0.00000000e+00  2.30974552e-07  2.30974552e-10 
 1.91098500e-02  0.00000000e+00  2.26400798e-07  2.26400798e-10 
