 time            v(in)           v(out)         
 2.40276939e-03  5.00000000e+00  3.76983049e+00 
 2.41276939e-03  5.00000000e+00  3.78207099e+00 
 2.42276939e-03  5.00000000e+00  3.79418968e+00 
 2.43276939e-03  5.00000000e+00  3.80618780e+00 
 2.44276939e-03  5.00000000e+00  3.81806652e+00 
 2.45276939e-03  5.00000000e+00  3.82982706e+00 
 2.46276939e-03  5.00000000e+00  3.84147057e+00 
 2.47276939e-03  5.00000000e+00  3.85299822e+00 
 2.48276939e-03  5.00000000e+00  3.86441118e+00 
 2.49276939e-03  5.00000000e+00  3.87571057e+00 
 2.50276939e-03  5.00000000e+00  3.88689753e+00 
 2.51276939e-03  5.00000000e+00  3.89797317e+00 
 2.52276939e-03  5.00000000e+00  3.90893862e+00 
 2.53276939e-03  5.00000000e+00  3.91979495e+00 
 2.54276939e-03  5.00000000e+00  3.93054326e+00 
 2.55276939e-03  5.00000000e+00  3.94118462e+00 
 2.56276939e-03  5.00000000e+00  3.95172009e+00 
 2.57276939e-03  5.00000000e+00  3.96215074e+00 
 2.58276939e-03  5.00000000e+00  3.97247760e+00 
 2.59276939e-03  5.00000000e+00  3.98270170e+00 
 2.60276939e-03  5.00000000e+00  3.99282407e+00 
 2.61276939e-03  5.00000000e+00  4.00284572e+00 
 2.62276939e-03  5.00000000e+00  4.01276766e+00 
 2.63276939e-03  5.00000000e+00  4.02259086e+00 
 2.64276939e-03  5.00000000e+00  4.03231633e+00 
 2.65276939e-03  5.00000000e+00  4.04194502e+00 
 2.66276939e-03  5.00000000e+00  4.05147791e+00 
 2.67276939e-03  5.00000000e+00  4.06091594e+00 
 2.68276939e-03  5.00000000e+00  4.07026006e+00 
 2.69276939e-03  5.00000000e+00  4.07951120e+00 
 2.70276939e-03  5.00000000e+00  4.08867029e+00 
 2.71276939e-03  5.00000000e+00  4.09773825e+00 
 2.72276939e-03  5.00000000e+00  4.10671598e+00 
 2.73276939e-03  5.00000000e+00  4.11560438e+00 
 2.74276939e-03  5.00000000e+00  4.12440433e+00 
 2.75276939e-03  5.00000000e+00  4.13311673e+00 
 2.76276939e-03  5.00000000e+00  4.14174243e+00 
 2.77276939e-03  5.00000000e+00  4.15028231e+00 
 2.78276939e-03  5.00000000e+00  4.15873721e+00 
 2.79276939e-03  5.00000000e+00  4.16710799e+00 
 2.80276939e-03  5.00000000e+00  4.17539547e+00 
 2.81276939e-03  5.00000000e+00  4.18360049e+00 
 2.82276939e-03  5.00000000e+00  4.19172387e+00 
 2.83276939e-03  5.00000000e+00  4.19976642e+00 
 2.84276939e-03  5.00000000e+00  4.20772894e+00 
 2.85276939e-03  5.00000000e+00  4.21561223e+00 
 2.86276939e-03  5.00000000e+00  4.22341709e+00 
 2.87276939e-03  5.00000000e+00  4.23114428e+00 
 2.88276939e-03  5.00000000e+00  4.23879459e+00 
 2.89276939e-03  5.00000000e+00  4.24636877e+00 
 2.90276939e-03  5.00000000e+00  4.25386759e+00 
 2.91276939e-03  5.00000000e+00  4.26129179e+00 
 2.92276939e-03  5.00000000e+00  4.26864212e+00 
 2.93276939e-03  5.00000000e+00  4.27591931e+00 
 2.94276939e-03  5.00000000e+00  4.28312410e+00 
 2.95276939e-03  5.00000000e+00  4.29025719e+00 
 2.96276939e-03  5.00000000e+00  4.29731931e+00 
 2.97276939e-03  5.00000000e+00  4.30431116e+00 
 2.98276939e-03  5.00000000e+00  4.31123343e+00 
 2.99276939e-03  5.00000000e+00  4.31808683e+00 
 3.00276939e-03  5.00000000e+00  4.32487204e+00 
 3.01276939e-03  5.00000000e+00  4.33158973e+00 
 3.02276939e-03  5.00000000e+00  4.33824058e+00 
 3.03276939e-03  5.00000000e+00  4.34482525e+00 
 3.04276939e-03  5.00000000e+00  4.35134440e+00 
 3.05276939e-03  5.00000000e+00  4.35779868e+00 
 3.06276939e-03  5.00000000e+00  4.36418875e+00 
 3.07276939e-03  5.00000000e+00  4.37051523e+00 
 3.08276939e-03  5.00000000e+00  4.37677876e+00 
 3.09276939e-03  5.00000000e+00  4.38297996e+00 
 3.10276939e-03  5.00000000e+00  4.38911947e+00 
 3.11276939e-03  5.00000000e+00  4.39519788e+00 
 3.12276939e-03  5.00000000e+00  4.40121581e+00 
 3.13276939e-03  5.00000000e+00  4.40717386e+00 
 3.14276939e-03  5.00000000e+00  4.41307263e+00 
